ID;ID_On_Plate;Random_ID;Experimentor;Testing_Date;Plate;Weight_mg;Colour;Moisture;Lab_Comment
12041831;1;1;Sandra;20190221;1;116;;;
12040461;2;2;Sandra;20190221;1;119,5;;;
12042639;3;3;Sandra;20190221;1;119,4;;;
12042471;4;4;Sandra;20190221;1;115,3;;;
21090028;5;5;Sandra;20190221;1;112,8;;;
21090618;6;6;Sandra;20190221;1;116,1;;;
12041784;7;7;Sandra;20190221;1;109,1;;;
12041636;8;8;Sandra;20190221;1;100;;;
12041296;9;9;Sandra;20190221;1;112,3;;;
12042624;10;10;Sandra;20190221;1;107,3;;;
12041372;11;11;Sandra;20190221;1;115,8;;;
75010048;12;12;Sandra;20190221;1;102,4;;;
12042559;13;13;Sandra;20190221;1;105,1;;;
12041969;14;14;Sandra;20190221;1;116,5;;;
12041079;15;15;Sandra;20190221;1;118,8;;;
21090592;16;16;Sandra;20190221;1;119;;;
12040073;17;17;Sandra;20190221;1;118,4;;;
12041601;18;18;Sandra;20190221;1;95,7;;;
12041215;19;19;Sandra;20190221;1;108,8;;;
12040900;20;20;Sandra;20190221;1;117,1;;;
21090434;21;21;Sandra;20190221;1;101,5;;;
12040122;22;22;Sandra;20190221;1;95,4;;;
12041313;23;23;Sandra;20190221;1;107,3;;;
21090036;24;24;Sandra;20190221;1;109,7;;;
12041029;25;25;Sandra;20190221;1;112,8;;;
12040580;26;26;Sandra;20190221;1;93;;;
12042169;27;27;Sandra;20190221;1;101,2;;;
21090608;28;28;Sandra;20190221;1;96,9;;;
12041007;29;29;Sandra;20190221;1;115,7;;;
71010075;30;30;Sandra;20190221;1;103,4;;;
Ctrl_plt1;Control;Ctrl_plt1;Sandra;20190221;1;66,7;;;
12041854;1;31;Sandra;20190221;2;92,1;;;
12040509;2;32;Sandra;20190221;2;115,4;;;
12041408;3;33;Sandra;20190221;2;110,9;;;
12040604;4;34;Sandra;20190221;2;108,3;;;
12041582;5;35;Sandra;20190221;2;116,2;;;
71010008;6;36;Sandra;20190221;2;101,7;;;
12040911;7;37;Sandra;20190221;2;117,5;;;
12040473;8;38;Sandra;20190221;2;117,3;;;
12041912;9;39;Sandra;20190221;2;116,7;;;
21090441;10;40;Sandra;20190221;2;114,8;;;
12041564;11;41;Sandra;20190221;2;111,9;;;
12042213;12;42;Sandra;20190221;2;109,7;;;
12041387;13;43;Sandra;20190221;2;118,3;;;
12042497;14;44;Sandra;20190221;2;105;;;
12040670;15;45;Sandra;20190221;2;113,9;;;
12041021;16;46;Sandra;20190221;2;119,7;;;
12040873;17;47;Sandra;20190221;2;98,5;;;
12040467;18;48;Sandra;20190221;2;109;;;
71010012;19;49;Sandra;20190221;2;119,9;;;
21090285;20;50;Sandra;20190221;2;111,5;;;
12040799;21;51;Sandra;20190221;2;116,3;;;
12041519;22;52;Sandra;20190221;2;111,5;;;
21090894;23;53;Sandra;20190221;2;116,8;;;
12041656;24;54;Sandra;20190221;2;106,4;;;
12041850;25;55;Sandra;20190221;2;105,7;;;
12041606;26;56;Sandra;20190221;2;101;;;
12041963;27;57;Sandra;20190221;2;108,2;;;
12041742;28;58;Sandra;20190221;2;118,2;;;
12041417;29;59;Sandra;20190221;2;114,2;;;
12042571;30;60;Sandra;20190221;2;117,2;;;
Ctrl_plt2;Control;Ctrl_plt2;Sandra;20190221;2;66,7;;;
12042146;1;61;Sandra;20190226;3;103,3;;;
12040167;2;62;Sandra;20190226;3;108,4;;;
12041379;3;63;Sandra;20190226;3;107,6;;;
12040408;4;64;Sandra;20190226;3;107,5;;;
12040424;5;65;Sandra;20190226;3;102,2;;;
12041335;6;66;Sandra;20190226;3;98,7;;;
12041236;7;67;Sandra;20190226;3;113,9;;;
12040304;8;68;Sandra;20190226;3;97,7;;;
12040767;9;69;Sandra;20190226;3;NA;;;
12040854;10;70;Sandra;20190226;3;113,6;;;
12041794;11;71;Sandra;20190226;3;116,6;;;
12041780;12;72;Sandra;20190226;3;113,4;;;
21090669;13;73;Sandra;20190226;3;109,4;;;
21090180;14;74;Sandra;20190226;3;105,7;;;
12040107;15;75;Sandra;20190226;3;88,7;;;
21090172;16;76;Sandra;20190226;3;99,5;;;
12041183;17;77;Sandra;20190226;3;108,1;;;
12042466;18;78;Sandra;20190226;3;97,1;;;
12040361;19;79;Sandra;20190226;3;119,9;;;
empty;20;80;Sandra;20190226;3;NA;;;
12041572;21;81;Sandra;20190226;3;116,9;;;
21090844;22;82;Sandra;20190226;3;102;;;
12041309;23;83;Sandra;20190226;3;118;;;
21090615;24;84;Sandra;20190226;3;75,3;;;
12040333;25;85;Sandra;20190226;3;104,6;;;
12042602;26;86;Sandra;20190226;3;98,1;;;
12041261;27;87;Sandra;20190226;3;94,3;;;
12040403;28;88;Sandra;20190226;3;110,6;;;
12042385;29;89;Sandra;20190226;3;116,8;;;
12040262;30;90;Sandra;20190226;3;101,2;;;
Ctrl_plt3;Control;Ctrl_plt3;Sandra;20190226;3;66,7;;;
21090601;1;91;Liwei;20190227;4;91,4;;;
71010016;2;92;Liwei;20190227;4;107;;;
12041267;3;93;Liwei;20190227;4;99,1;;;
12040576;4;94;Liwei;20190227;4;116,8;;;
12040752;5;95;Liwei;20190227;4;95,4;;;
21090081;6;96;Liwei;20190227;4;96,3;;;
12040668;7;97;Liwei;20190227;4;114,5;;;
21090605;8;98;Liwei;20190227;4;99,3;;;
12041343;9;99;Liwei;20190227;4;119,7;;;
12041731;10;100;Liwei;20190227;4;103,4;;;
12042425;11;101;Liwei;20190227;4;103,4;;;
12041300;12;102;Liwei;20190227;4;113,4;;;
12042607;13;103;Liwei;20190227;4;110,7;;;
12040447;14;104;Liwei;20190227;4;103;;;
12041914;15;105;Liwei;20190227;4;NA;;;
12041822;16;106;Liwei;20190227;4;120;;;
12041832;17;107;Liwei;20190227;4;117,6;;;
21090176;18;108;Liwei;20190227;4;102,2;;;
21090735;19;109;Liwei;20190227;4;106,7;;;
12041443;20;110;Liwei;20190227;4;99,8;;;
12042631;21;111;Liwei;20190227;4;114,7;;;
12042168;22;112;Liwei;20190227;4;105,4;;;
12041958;23;113;Liwei;20190227;4;120;;;
12041165;24;114;Liwei;20190227;4;NA;;;
12041690;25;115;Liwei;20190227;4;117,7;;;
12041216;26;116;Liwei;20190227;4;NA;;;
12041802;27;117;Liwei;20190227;4;116,8;;;
