well;person;time point;stained;aliquot;dilution
A1;3;1;unstained;1-1;150_
A2;3;1;unstained;2-1;150_
A3;3;1;unstained;3-1;150_
A4;3;1;unstained;1-2;150_
A5;3;1;unstained;2-2;150_
A6;3;1;unstained;3-2;150_
B1;4;1;unstained;1-1;150_
B2;4;1;unstained;2-1;150_
B3;4;1;unstained;3-1;150_
B4;4;1;unstained;1-2;150_
B5;4;1;unstained;2-2;150_
B6;4;1;unstained;3-2;150_
C1;5;1;unstained;1-1;150_
C2;5;1;unstained;2-1;150_
C3;5;1;unstained;3-1;150_
C4;5;1;unstained;1-2;150_
C5;5;1;unstained;2-2;150_
C6;5;1;unstained;3-2;150_
D1;3;1;stained;1-1;150_
D2;3;1;stained;2-1;150_
D3;3;1;stained;3-1;150_
D4;3;1;stained;1-2;150_
D5;3;1;stained;2-2;150_
D6;3;1;stained;3-2;150_
E1;4;1;stained;1-1;150_
E2;4;1;stained;2-1;150_
E3;4;1;stained;3-1;150_
E4;4;1;stained;1-2;150_
E5;4;1;stained;2-2;150_
E6;4;1;stained;3-2;150_
F1;5;1;stained;1-1;150_
F2;5;1;stained;2-1;150_
F3;5;1;stained;3-1;150_
F4;5;1;stained;1-2;150_
F5;5;1;stained;2-2;150_
F6;5;1;stained;3-2;150_
H1;buffer;NA;stained;NA;NA
